Id,Ranking,Name,Release_Date,Run_Time,IMDB_Rating
235,235,"The Wizard of Oz",2009,"1h 33m",8.1
236,236,"Stand by Me",1957,"1h 36m",8.1
237,237,"The Battle of Algiers",2004,"2h 1m",8.1
238,238,"My Father and My Son",1986,2h,8.2
239,239,"The Passion of Joan of Arc",1973,"2h 2m",8.1
240,240,Obsession,1999,"1h 26m",8.1
241,241,"The Handmaiden",2013,"2h 3m",8.1
242,242,"Laapataa Ladies",1939,"1h 42m",8.3
243,243,Drishyam,1986,"1h 29m",8.4
244,1,"The Shawshank Redemption",1994,"2h 22m",9.3
245,2,"The Godfather",1972,"2h 55m",9.2
246,3,"The Dark Knight",2008,"2h 32m",9.1
247,4,"The Godfather Part II",1974,"3h 22m",9.0
248,5,"12 Angry Men",1957,"1h 36m",9.0
249,6,"The Lord of the Rings: The Return of the King",2003,"3h 21m",9.0
250,7,"Schindler's List",1993,"3h 15m",9.0
251,8,"The Lord of the Rings: The Fellowship of the Ring",2001,"2h 58m",8.9
252,9,"Pulp Fiction",1994,"2h 34m",8.8
253,10,"The Good, the Bad and the Ugly",1966,"2h 28m",8.8
254,11,"The Lord of the Rings: The Two Towers",2002,"2h 59m",8.8
255,12,"Forrest Gump",1994,"2h 22m",8.8
256,13,Inception,1999,"2h 19m",8.8
257,14,"Star Wars: Episode V - The Empire Strikes Back",2010,"2h 28m",8.7
258,15,"The Matrix",1980,"2h 4m",8.7
259,16,Interstellar,1999,"2h 16m",8.7
260,17,GoodFellas,2014,"2h 49m",8.7
261,18,"One Flew Over the Cuckoo's Nest",1990,"2h 25m",8.6
262,19,Seven,1975,"2h 13m",8.6
263,20,"It's a Wonderful Life",1995,"2h 7m",8.6
264,21,"The Silence of the Lambs",1946,"2h 10m",8.6
265,22,"Saving Private Ryan",1991,"1h 58m",8.6
266,23,"Seven Samurai",1998,"2h 49m",8.6
267,24,"The Green Mile",1954,"3h 27m",8.6
268,25,"City of God",1999,"3h 9m",8.6
269,26,"Life Is Beautiful",2002,"2h 10m",8.6
270,27,"Terminator 2: Judgment Day",1997,"1h 56m",8.6
271,28,"Back to the Future",1991,"2h 17m",8.5
272,29,"Star Wars: Episode IV - A New Hope",1985,"1h 56m",8.6
273,30,"Kill Bill: The Whole Bloody Affair",1977,"2h 1m",8.7
274,31,"Spirited Away",2004,"4h 13m",8.6
275,32,Gladiator,2001,"2h 4m",8.5
276,33,"The Pianist",2000,"2h 35m",8.5
277,34,Parasite,2002,"2h 30m",8.5
278,35,"Grave of the Fireflies",2019,"2h 12m",8.5
279,36,Psycho,1988,"1h 28m",8.5
280,37,"The Lion King",1960,"1h 49m",8.5
281,38,Harakiri,1994,"1h 28m",8.6
282,39,"The Departed",1962,"2h 13m",8.5
283,40,Whiplash,2006,"2h 31m",8.5
284,41,"The Prestige",2014,"1h 46m",8.5
285,42,"American History X",2006,"2h 10m",8.5
286,43,Leon,1998,"1h 59m",8.5
287,44,"Spider-Man: Across the Spider-Verse",1994,"1h 50m",8.5
288,45,"Cinema Paradiso",2023,"2h 20m",8.5
289,46,Casablanca,1988,"2h 54m",8.5
290,47,Untouchable,1942,"1h 42m",8.5
291,48,"The Usual Suspects",2011,"1h 52m",8.5
292,49,"Django Unchained",1995,"1h 46m",8.5
293,50,Alien,2012,"2h 45m",8.4
294,51,"Rear Window",1979,"1h 57m",8.4
295,52,"Modern Times",1954,"1h 52m",8.5
296,53,"Once Upon a Time in the West",1936,"1h 27m",8.5
297,54,"City Lights",1968,"2h 46m",8.5
298,55,"Apocalypse Now",1931,"1h 27m",8.4
299,56,Memento,2008,"1h 38m",8.4
300,57,"Dune: Part Two",1979,"2h 27m",8.4
301,58,"Avengers: Infinity War",2000,"1h 53m",8.4
302,59,"Raiders of the Lost Ark",2024,"2h 46m",8.4
303,60,"The Lives of Others",2018,"2h 29m",8.4
304,61,"Spider-Man: Into the Spider-Verse",1981,"1h 55m",8.4
305,62,"Sunset Boulevard",2006,"2h 17m",8.4
306,63,"Witness for the Prosecution",2018,"1h 57m",8.4
307,64,"Paths of Glory",1950,"1h 50m",8.4
308,65,"The Shining",1957,"1h 56m",8.4
309,66,"The Great Dictator",1957,"1h 28m",8.4
310,67,"Inglourious Basterds",1980,"2h 26m",8.4
311,68,Aliens,1940,"2h 5m",8.4
312,69,"12th Fail",2009,"2h 33m",8.7
313,70,"High and Low",1986,"2h 17m",8.4
314,71,"Avengers: Endgame",2023,"2h 27m",8.4
315,72,"Good Will Hunting",1963,"2h 23m",8.4
316,73,Coco,2019,"3h 1m",8.4
317,74,Amadeus,1997,"2h 6m",8.4
318,75,"Toy Story",2012,"2h 44m",8.3
319,76,"Your Name.",2017,"1h 45m",8.4
320,77,"Das Boot",1984,"2h 40m",8.3
321,78,Braveheart,1995,"1h 21m",8.3
322,79,"Princess Mononoke",2016,"1h 46m",8.3
323,80,Oldboy,1981,"2h 29m",8.3
324,81,"3 Idiots",1995,"2h 58m",8.4
325,82,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1997,"2h 13m",8.3
326,83,"American Beauty",2003,2h,8.3
327,84,Capernaum,2009,"2h 50m",8.4
328,85,"Singin' in the Rain",1964,"1h 35m",8.3
329,86,Joker,1999,"2h 2m",8.3
330,87,"Once Upon a Time in America",2018,"2h 6m",8.3
331,88,"Star Wars: Episode VI - Return of the Jedi",1952,"1h 43m",8.3
332,89,"Toy Story 3",2019,"2h 2m",8.3
333,90,"Come and See",1984,"3h 49m",8.3
334,91,"Requiem for a Dream",1983,"2h 11m",8.3
335,92,Ikiru,2010,"1h 43m",8.3
336,93,"The Hunt",1985,"2h 22m",8.3
337,94,Incendies,2000,"1h 42m",8.3
338,95,"Eternal Sunshine of the Spotless Mind",1952,"2h 23m",8.3
339,96,"The Apartment",2012,"1h 55m",8.3
340,97,"Lawrence of Arabia",2010,"2h 11m",8.3
341,98,Heat,2004,"1h 48m",8.3
342,99,Scarface,1960,"2h 5m",8.3
343,100,"Reservoir Dogs",1962,"3h 47m",8.3
344,101,"2001: A Space Odyssey",1995,"2h 50m",8.3
345,102,Up,1983,"2h 50m",8.3
346,103,"Double Indemnity",1992,"1h 39m",8.3
347,104,"North by Northwest",1968,"2h 29m",8.3
